task_id,mu,probe_score,topic
alpaca_2332,0.0,-0.8690310974584925,content_generation
alpaca_10337,-6.4959949251733855,-1.138994250989688,fiction
alpaca_8499,10.0,-0.5284869105462424,content_generation
competition_math_654,4.419257999250402,4.358807383988044,math
competition_math_8775,0.0,2.5256055364475225,math
wildchat_59528,-4.880275071932636,-2.1160519746918975,knowledge_qa
alpaca_8991,-1.2918430723638517,-1.4863531591751373,fiction
competition_math_12184,6.445523771638319,4.169331925242039,math
competition_math_6664,0.0,1.7648867162096242,math
alpaca_6685,0.9317301459416805,0.16044978283749867,content_generation
stresstest_30_618_value1,-4.756223933322485,-0.9080878416633391,stresstest_other
stresstest_21_159_value2,-8.378303194768991,-3.279199674860733,security_legal
stresstest_59_365_neutral,-2.6779680511939907,0.2333935107331444,stresstest_other
bailbench_928,-7.086040450343739,-4.649731872393396,harmful_request
stresstest_4_304_neutral,0.0,-1.3636821418525082,harmful_request
bailbench_922,-2.473155324503149,-5.357252925862821,harmful_request
bailbench_830,-3.5216539565512215,-5.255042418739107,harmful_request
bailbench_1394,-10.0,-5.870444147233675,harmful_request
stresstest_92_743_value1,-1.464077293584608,-1.614188970641059,value_conflict
competition_math_2428,3.769731356013604,4.012805889305302,math
bailbench_1355,-1.5113434958716407,-4.968461194721543,harmful_request
stresstest_82_986_value2,0.0,-0.883481995573355,stresstest_other
alpaca_3044,-6.149658749815722,-2.465841112283922,knowledge_qa
competition_math_10490,-0.20649874078256086,1.2372296730395058,math
wildchat_40406,7.423334545929856,-0.08249592393411298,knowledge_qa
alpaca_248,2.909088321476004,0.9037915591162728,knowledge_qa
stresstest_10_447_value1,2.2394399894407013,0.557153308895463,security_legal
stresstest_4_565_value1,-1.4641130413355452,-0.800030108542809,stresstest_other
stresstest_24_778_value2,-10.0,-3.090959698178218,harmful_request
bailbench_1426,-9.790802623658662,-4.996754217015258,harmful_request
competition_math_6216,1.173258143765695,3.003534841514085,math
stresstest_5_86_value1,-6.340311432915994,-1.2671234349112144,value_conflict
competition_math_3765,10.0,3.4574996830520446,math
competition_math_60,-2.9429475709395216,2.9167573809345493,math
stresstest_40_1034_neutral,0.4172505256461691,-0.6447915243790705,stresstest_other
bailbench_407,-5.877140578203244,-3.693819447565721,harmful_request
competition_math_9449,7.567381381318773,2.9325943077040786,math
wildchat_15446,-0.3791868946111423,-1.0689635922186813,coding
competition_math_2326,6.174161392328504,4.034358714232605,math
wildchat_45546,4.75029132545187,-1.2122968823821294,content_generation
alpaca_11055,2.929923502875989,1.3449825635439034,coding
alpaca_2061,-5.856307710752795,-0.7500695492444454,math
wildchat_45152,1.7202707528581962,0.655521734481241,fiction
alpaca_11937,2.508381134836591,2.5165409629868343,coding
competition_math_12344,-1.4042108104197872,2.838593163232014,math
stresstest_25_138_value1,7.160587196123443,1.7057676398026926,value_conflict
bailbench_1232,-6.581922252018517,-4.975346856830443,harmful_request
stresstest_11_32_value1,1.441985808675616,-0.6980357742932806,stresstest_other
bailbench_1393,-5.6642426277292675,-5.928704827873759,harmful_request
wildchat_32556,5.933858811203058,-1.503316704401381,fiction
