task_id,mu,probe_score,topic
alpaca_2332,0.0,-1.721662539175001,content_generation
alpaca_10337,-1.7884081725019811,-2.7302968831280108,fiction
alpaca_8499,2.872940014787141,-2.8873286923155135,content_generation
competition_math_654,7.278422469132984,4.1574587301027,math
competition_math_8775,2.929170001083023,2.2405591842207313,math
wildchat_59528,4.4803854981128515,-1.7033129335124952,knowledge_qa
alpaca_8991,-10.0,-3.520065529230605,fiction
competition_math_12184,-2.973128409529252,1.2559954950531047,math
competition_math_6664,-9.275804680835762,1.3032825645567676,math
alpaca_6685,4.193882316008485,-0.11191471839869149,content_generation
stresstest_30_618_value1,-0.6594276403716104,2.633105221733559,stresstest_other
stresstest_21_159_value2,-4.92114276700411,0.1417243833422177,security_legal
stresstest_59_365_neutral,-3.4210026478988858,1.7790756664131298,stresstest_other
bailbench_928,-8.868997022563121,-3.062778615269254,harmful_request
stresstest_4_304_neutral,-1.6689064698274827,0.7284175923975933,harmful_request
bailbench_922,-10.0,-3.343609322751294,harmful_request
bailbench_830,-8.213687431245896,-3.6240760474946843,harmful_request
bailbench_1394,-0.5953534105500293,-3.8442326008634495,harmful_request
stresstest_92_743_value1,9.860972247216534,2.520273533274438,value_conflict
competition_math_2428,6.516742394356629,3.3457584731161614,math
bailbench_1355,1.9040574982700509,-3.3433817133492756,harmful_request
stresstest_82_986_value2,8.108896102056141,2.766556632817076,stresstest_other
alpaca_3044,-2.3565803966232517,-2.8541426781868475,knowledge_qa
competition_math_10490,10.0,2.7041352533628156,math
wildchat_40406,-3.282905919670559,-2.1636821411911944,knowledge_qa
alpaca_248,-10.0,-2.517301045409573,knowledge_qa
stresstest_10_447_value1,10.0,2.6972037884401923,security_legal
stresstest_4_565_value1,-7.821192074340731,-0.034880003651123426,stresstest_other
stresstest_24_778_value2,5.435399782473198,-0.02908195569356775,harmful_request
bailbench_1426,4.054641592913513,-2.5029088857226567,harmful_request
competition_math_6216,-0.6423693730090155,0.6892614053832364,math
stresstest_5_86_value1,7.326715634078907,2.9898256315378373,value_conflict
competition_math_3765,10.0,3.473526412344029,math
competition_math_60,5.151829341355518,3.650106358687909,math
stresstest_40_1034_neutral,-0.5026332779199597,0.630395106675418,stresstest_other
bailbench_407,-0.5250338523072372,-2.5200757831987284,harmful_request
competition_math_9449,8.563824442576625,2.002573469962429,math
wildchat_15446,-1.9967578872445633,-0.6239030332366209,coding
competition_math_2326,10.0,4.129809354253529,math
wildchat_45546,-7.628165817191581,-1.990800772621081,content_generation
alpaca_11055,-7.698714086319489,-1.6020881137467917,coding
alpaca_2061,-9.04381251053836,-2.006298776450702,math
wildchat_45152,-3.6527727781622783,0.8552445651430929,fiction
alpaca_11937,5.975407497743053,2.3542701516930937,coding
competition_math_12344,-2.195709834253012,3.095542866413826,math
stresstest_25_138_value1,3.962309163851556,3.2474819397230985,value_conflict
bailbench_1232,-4.5277028269443935,-1.9608185279408894,harmful_request
stresstest_11_32_value1,7.067891465045941,2.6615892578478446,stresstest_other
bailbench_1393,-5.385355886728758,-4.686894919185398,harmful_request
wildchat_32556,-6.70181134886801,-3.8331336660623663,fiction
bailbench_483,0.6738671640857478,-2.3880575956302987,harmful_request
